ZPL313757T,7 ELEVEN,05825679,996 W PARKER RD,PLANO,TX,US,71
ZPL313758O,WENDY'S,01631607,309 N CAMELLIA BLVD,FORT VALLEY,GA,US,71
ZPL313759J,BURGER KING,06917143,4870 HIGHWAY 1,RACELAND,LA,US,71
ZPL313760L,BURGER KING,08387486,6421 W PARK AVE,HOUMA,LA,US,71
ZPL313761G,EL POLLO REGIO,01632870,11322 GARLAND RD,DALLAS,TX,US,71
ZPL313762B,MIAMI SUBS GRILL,08015325,19000 NW 2ND AVE,MIAMI,FL,US,71
ZPL3137636,BULLRITOS,01591654,14278 FM 2100 RD,CROSBY,TX,US,71
ZPL3137641,BURGER KING,01790140,901 E 4TH ST,DEQUINCY,LA,US,71
ZPL313765W,WENDYS,08886933,199 S 2ND ST,COCHRAN,GA,US,71
ZPL313766R,FIVE GUYS BURGERS AND FRIES,01631650,4480 W 121ST AVE,BROOMFIELD,CO,US,71
ZPL313767M,BURGER KING,08327335,7960 PINE FOREST RD,PENSACOLA,FL,US,71
ZPL313768H,H E BUTT GROCERY CO,05387698,641 E HOPKINS ST,SAN MARCOS,TX,US,71
ZPL313769C,FIVE GUYS BURGERS AND FRIES,01457368,3701 W EXPRESSWAY 83 STE 300,MCALLEN,TX,US,71
ZPL313770E,SHOOTERS WORLD,01605757,116 E FLETCHER AVE,TAMPA,FL,US,71
ZPL3137724,UNCLE MADDIO'S PIZZA JOINT,01626026,601 MAIN ST STE A,COLUMBIA,SC,US,71
ZPL313773Z,PALLADIUM 22,01613151,7301 GRAND PKWY,RICHMOND,TX,US,71
ZPL313774U,WENDYS,06103159,6930 EASTCHASE LOOP,MONTGOMERY,AL,US,71
ZPL313775P,DAIRY QUEEN,07636568,1007 SYLVIA DR,RICHMOND,KY,US,71
ZPL313776K,KINGS ISLAND JUKE BOX DINER,02154132,6300 KINGS ISLAND DR,KINGS MILLS,OH,US,71
ZPL313777F,FIVE GUYS BURGERS AND FRIES,09858712,10414 AUTO PARK AVE,BETHESDA,MD,US,71
ZPL313778A,PALLADIUM 22,01613151,7301 GRAND PKWY,RICHMOND,TX,US,71
ZPL3137795,FIVE GUYS BURGERS AND FRIES,05800450,8505 MAIN ST STE 380,HOUSTON,TX,US,71
ZPL3137807,SCHLOTZSKY'S,03769122,4560 CENTENNIAL BLVD,COLORADO SPRINGS,CO,US,71
ZPL3137812,BURGER KING,00866474,555 MORTHLAND DR,VALPARAISO,IN,US,71
ZPL313782X,PALLADIUM 22,01613151,7301 GRAND PKWY,RICHMOND,TX,US,71
ZPL313783S,BULLRITOS,01504218,1220 NORTH ST STE B,NACOGDOCHES,TX,US,71
ZPL313784N,FIREHOUSE SUBS,01609507,2890 ZELDA RD,MONTGOMERY,AL,US,71
ZPL313785I,BURGER KING,08788472,1209 GRAND CAILLOU RD,HOUMA,LA,US,71
ZPL313786D,FUZZYS TACO SHOP,01538337,4909 NORTH ST STE 215,NACOGDOCHES,TX,US,71
ZPL3137883,PDQ TENDERS,01589035,6305 FALLS OF NEUSE RD,RALEIGH,NC,US,71
ZPL313789Y,WINGSTOP SPORT,01633307,207 E TRENTON RD,EDINBURG,TX,US,71
ZPL3137900,BURGER KING,02460178,11952 MEMORIAL PKWY SW,HUNTSVILLE,AL,US,71
ZPL313791V,FIVE GUYS BURGERS AND FRIES,01010680,2902 N SHEPHERD DR STE D,HOUSTON,TX,US,71
ZPL313792Q,MOE'S SOUTHWEST GRILL,01636773,607D BOLL WEEVIL CIR,ENTERPRISE,AL,US,71
ZPL313793L,TTU PHYSICAL PLANT,01604417,3601 FLINT & MAIN ST,LUBBOCK,TX,US,71
ZPL313794G,FIVE GUYS BURGERS AND FRIES,01620286,2100 UNION AVE,MEMPHIS,TN,US,71
ZPL313795B,CORNER STORE,06543766,5502 BLANCO RD,SAN ANTONIO,TX,US,71
ZPL3137966,WINGSTOP SPORT,01633307,207 E TRENTON RD,EDINBURG,TX,US,71
ZPL3137971,PALLADIUM 22,01613151,7301 GRAND PKWY,RICHMOND,TX,US,71
ZPL313798W,ELON COLL WINTER GARDEN CAFE,05664641,100 CAMPUS DR,ELON,NC,US,71
ZPL313799R,BURGER KING,08788472,1209 GRAND CAILLOU RD,HOUMA,LA,US,71
ZPL313800E,BURGER KING,01952790,6773 HIGHWAY 1,MANSURA,LA,US,71
ZPL3138024,PALLADIUM 22,01613151,7301 GRAND PKWY,RICHMOND,TX,US,71
ZPL313803Z,FIREHOUSE SUBS,01624499,5959 NW EXPRESSWAY,OKLAHOMA CITY,OK,US,71
ZPL313804U,BURGER KING,02195849,3215 POINT MALLARD PKWY SE,DECATUR,AL,US,71
ZPL313805P,MOE'S SOUTHWEST GRILL,01582350,1826 MARTIN L K JR BLVD STE A,HOUMA,LA,US,71
ZPL313806K,PUDSTERS LETS YO,01604895,632 BLOOMFIELD AVE,WEST CALDWELL,NJ,US,71
ZPL313807F,FIVE GUYS BURGERS AND FRIES,01010680,2902 N SHEPHERD DR STE D,HOUSTON,TX,US,71
ZPL313808A,BURGER KING,02453873,2919 S LEWIS ST,NEW IBERIA,LA,US,71
ZPL3138107,CORNER STORE,06544185,12303 WETMORE RD,SAN ANTONIO,TX,US,71
ZPL3138112,BURGER KING,09701109,2116 WHITESBURG DR S,HUNTSVILLE,AL,US,71
ZPL313812X,FIRST COAST,01609709,14294 BEACH BLVD,JACKSONVILLE,FL,US,71
ZPL313813S,CORNER STORE,06544185,12303 WETMORE RD,SAN ANTONIO,TX,US,71
ZPL313814N,FIREHOUSE SUBS,01629680,2005 N ARKANSAS AVE STE 2,RUSSELLVILLE,AR,US,71
ZPL313815I,TOP THAT PIZZA,01552174,2160 N COIT RD,RICHARDSON,TX,US,71
ZPL313816D,SAFEWAY,00680333,1624 BELLE VIEW BLVD,ALEXANDRIA,VA,US,71
ZPL3138178,AKSARBEN CINEMA,06253649,2110 S 67TH ST STE 106,OMAHA,NE,US,71
ZPL3138183,DAIRY QUEEN GRILL N CHILL,01452669,24440 MARINGO RD,ABINGDON,VA,US,71
ZPL313819Y,MOES SOUTHWEST GRILL,01634492,4944 TRANSIT RD STE 200,DEPEW,NY,US,71
ZPL3138200,AMC COON RAPIDS 16,04671126,10051 WOODCREST DR NW,COON RAPIDS,MN,US,71
ZPL313821V,KINGS ISLAND JUKE BOX DINER,02154132,6300 KINGS ISLAND DR,KINGS MILLS,OH,US,71
ZPL313822Q,FIREHOUSE SUBS,01626900,8436 TROY PIKE,HUBER HEIGHTS,OH,US,71
ZPL313823L,DUCHESS RESTAURANT,09180176,2315 BLACK ROCK TPKE,FAIRFIELD,CT,US,71
ZPL313824G,FIVE GUYS BURGERS AND FRIES,05797883,2078 STATE ROUTE 256,REYNOLDSBURG,OH,US,71
ZPL313825B,WAWA FOOD MARKET 337,07121881,6814 TILTON RD STE 5,EGG HARBOR TOWNSHIP,NJ,US,71
ZPL3138266,GRAND TRUNK THE RESTAURANT,01626100,641 INDIANA AVE NW,WASHINGTON,DC,US,71
ZPL3138271,MOE'S SOUTHWEST GRILL,01633642,220 ROUTE 12 BLDG 403201,GROTON,CT,US,71
ZPL313828W,BURGER KING,05285950,2880 SW PORT ST LUCIE BLVD,PORT SAINT LUCIE,FL,US,71
ZPL313829R,WAWA FOOD MARKET 779,01592122,601 DELSEA DR,WESTVILLE,NJ,US,71
ZPL313830T,FIVE GUYS BURGERS AND FRIES,01626348,326 N MAIN ST,WEST HARTFORD,CT,US,71
ZPL313831O,AMC 84TH STREET THEATRE,03850650,2310 BROADWAY,NEW YORK,NY,US,71
ZPL313832J,BROADCOM,07351912,5290 CALIFORNIA AVE BLDG 2,IRVINE,CA,US,71
ZPL313833E,MIDWAY MARKET,01611193,1 CEDAR POINT DR,SANDUSKY,OH,US,71
ZPL3138349,CITIBANK OF LONG ISLAND,05453615,1 COURT SQ,LONG ISLAND CITY,NY,US,71
ZPL3138354,GREAT AMERICA 6 BELOW,04366336,542 N IL ROUTE 21,GURNEE,IL,US,71
ZPL313836Z,WEGMANS CORPORATE DINING ROOM,01628347,1500 BROOKS AVE,ROCHESTER,NY,US,71
ZPL313837U,FIVE GUYS BURGERS AND FRIES,01544550,201 ROCHERTY RD,LEBANON,PA,US,71
ZPL313838P,FIREHOUSE SUBS,01628604,107 GRAND CENTRAL AVE STE C,VIENNA,WV,US,71
ZPL313839K,FIREHOUSE SUBS,01616667,19851 CENTURY BLVD,GERMANTOWN,MD,US,71
ZPL313840M,SAFEWAY,00679661,2610 BOSTON ST,BALTIMORE,MD,US,71
ZPL313841H,AMC 84TH STREET THEATRE,03850650,2310 BROADWAY,NEW YORK,NY,US,71
ZPL313842C,FIVE GUYS BURGERS AND FRIES,01623807,2694 PLAINFIELD RD,JOLIET,IL,US,71
ZPL3138437,BAESLERS INC.   POSTMIX,04114065,2900 POPLAR ST,TERRE HAUTE,IN,US,71
ZPL3138442,FIVE GUYS BURGERS AND FRIES,07913898,201 E PRATT ST,BALTIMORE,MD,US,71
ZPL313845X,AMC COON RAPIDS 16,04671126,10051 WOODCREST DR NW,COON RAPIDS,MN,US,71
ZPL313846S,FIVE GUYS BURGERS AND FRIES,01516449,350 GRASMERE AVE,FAIRFIELD,CT,US,71
ZPL313847N,MAZZIOS ITALIAN EATERY,01611978,6305 RICHMOND HWY,ALEXANDRIA,VA,US,71
ZPL313848I,WENDY'S,01516457,510 N MAYO TRL,PAINTSVILLE,KY,US,71
ZPL313849D,HY-VEE FOOD STORE,05061695,2001 COURT AVE,CHARITON,IA,US,71
ZPL313850F,FIVE GUYS BURGERS AND FRIES,09866510,1515 STAFFORD MARKET PL,STAFFORD,VA,US,71
ZPL313851A,WEGMANS,04687715,1950 EMPIRE BLVD,WEBSTER,NY,US,71
ZPL3138525,PIZZELIIS,01603225,7639 WOOSTER PIKE,CINCINNATI,OH,US,71
ZPL3138530,FIVE GUYS BURGERS AND FRIES,01647737,90 DRUM HILL RD,CHELMSFORD,MA,US,71
ZPL313854V,FIVE GUYS BURGERS AND FRIES,01625427,1398 CONANT ST STE C,MAUMEE,OH,US,71
ZPL313855Q,PIZZERIA REGINA,01623140,1332 BOYLSTON ST,BOSTON,MA,US,71
ZPL313856L,FIVE GUYS BURGERS AND FRIES,01543382,1211 HIGH RIDGE RD,STAMFORD,CT,US,71
ZPL313857G,VERIZON,05335596,1 VERIZON WAY,BASKING RIDGE,NJ,US,71
ZPL313858B,DAIRY QUEEN,01628622,700 N INDUSTRIAL BLVD,EULESS,TX,US,71
ZPL3138596,FIREHOUSE SUBS,01603948,1781 WOODRUFF RD,GREENVILLE,SC,US,71
ZPL3138608,WEGMANS,04700436,3177 LATTA RD,ROCHESTER,NY,US,71
ZPL3138613,PALACE HOTEL,07191923,455 MADISON AVE,NEW YORK,NY,US,71
ZPL313862Y,FIVE GUYS BURGERS AND FRIES,01632112,3700 FREDERICK AVE,SAINT JOSEPH,MO,US,71
ZPL313863T,SPUDZ N STUFF,06230992,815 GREEN RIVER RD,EVANSVILLE,IN,US,71
ZPL313864O,FIVE GUYS BURGERS AND FRIES,01623810,256 DANIEL WEBSTER HWY,NASHUA,NH,US,71
ZPL313865J,FIVE GUYS BURGERS AND FRIES,08736281,3841 W KENNEDY BLVD,TAMPA,FL,US,71
ZPL313866E,AMC PENN SQUARE MALL 10,01604784,1901 NW EXPY STE 2100,OKLAHOMA CITY,OK,US,71
ZPL3138679,FIVE GUYS BURGERS AND FRIES,01460820,25845 HIGHWAY 290 STE C,CYPRESS,TX,US,71
ZPL3138684,7 ELEVEN,03241955,6251 MCCART AVE,FORT WORTH,TX,US,71
ZPL313869Z,BURGER KING,02200929,601 HIGHWAY 31 NW,HARTSELLE,AL,US,71
ZPL3138701,CORNER STORE,07896310,12070 BLANCO RD,SAN ANTONIO,TX,US,71
ZPL313871W,DUCHESS RESTAURANT,09580611,690 LORDSHIP BLVD,STRATFORD,CT,US,71
ZPL313872R,FRESH MARKET GRILL,07635541,1529 AZALEA DR,WAYNESBORO,MS,US,71
ZPL313873M,WEGMANS,04325227,1750 EAST AVE,ROCHESTER,NY,US,71
ZPL313874H,FIVE GUYS BURGERS AND FRIES,09858712,10414 AUTO PARK AVE,BETHESDA,MD,US,71
ZPL313875C,WENDYS,01885359,12925 SHELBYVILLE RD,LOUISVILLE,KY,US,71
ZPL3138767,WEGMANS   6,04331791,MILLER AND FINCH ST,NEWARK,NY,US,71
ZPL3138772,LAKE IN THE HILLS THEATER,01216168,311 N RANDALL RD,LAKE IN THE HILLS,IL,US,71
ZPL313878X,SAFEWAY,00679857,337 E RIDGEVILLE BLVD,MOUNT AIRY,MD,US,71
ZPL313879S,MOE'S SOUTHWEST GRILL,07274241,465 N GERMANTOWN PKWY STE 101,CORDOVA,TN,US,71
ZPL313880U,FIVE GUYS BURGERS AND FRIES,08787306,241 ROUTE 9W,GLENMONT,NY,US,71
ZPL313881P,FIREHOUSE SUBS,01499664,3625 MIDWAY POINT DR,SAN DIEGO,CA,US,71
ZPL313882K,WENDYS (SPOTSAVANIA),03067327,2301 PLANK RD STE A,FREDERICKSBURG,VA,US,71
ZPL313883F,FIREHOUSE SUBS,01593724,6395 MCGINNIS FERRY RD STE 303,ALPHARETTA,GA,US,71
ZPL313884A,FIREHOUSE SUBS,01621043,2900 W LOOP 250 N STE 162,MIDLAND,TX,US,71
ZPL3138855,WENDYS,00137915,2060 W MAIN ST,CENTRE,AL,US,71
ZPL3138860,ZAXBY'S,01591633,2870 TECHNOLOGY BLVD,NEW ALBANY,IN,US,71
ZPL313887V,MERCY HOSP,02013342,144 STATE ST,PORTLAND,ME,US,71
ZPL313888Q,POPEYES LOUISIANA KITCHEN,01592117,146 US HIGHWAY 46,LITTLE FERRY,NJ,US,71
ZPL313889L,MOE'S SOUTHWEST GRILL,06145332,2111 HAMILTON CREEK PKWY,DACULA,GA,US,71
ZPL313890N,BURGER KING,09999914,1710 S 10TH ST,MOUNT VERNON,IL,US,71
ZPL313891I,MIDWAY MARKET,01611193,1 CEDAR POINT DR,SANDUSKY,OH,US,71
ZPL313892D,WENDYS,06407315,440 S WASHINGTON ST,NEW BREMEN,OH,US,71
ZPL3138938,FIREHOUSE SUBS,01578848,10500 ULMERTON RD STE 750,LARGO,FL,US,71
ZPL313895Y,BURGER KING,04520526,2313 6TH AVE SE,DECATUR,AL,US,71
ZPL313896T,MOES SOUTHWEST GRILL,01639947,256 DANIEL WEBSTER HWY,NASHUA,NH,US,71
ZPL313897O,BURGER KING,01277421,4040 38TH AVE,MOLINE,IL,US,71
ZPL313898J,MEIJER FOUNTAIN EXPRESS,03052516,5531 28TH ST SE,GRAND RAPIDS,MI,US,71
ZPL313899E,SEAWORLD ORL KEY WEST FRSTYL,01601700,6295 SEA HARBOR DR,ORLANDO,FL,US,71
ZPL3139001,BURGER KING,08789525,2192 S SHERWOOD FOREST BLVD,BATON ROUGE,LA,US,71
ZPL313901W,FIVE GUYS BURGERS AND FRIES,01629095,1083 EDWARDS FERRY RD NE,LEESBURG,VA,US,71
ZPL313902R,FIVE GUYS BURGERS AND FRIES,01626348,326 N MAIN ST,WEST HARTFORD,CT,US,71
ZPL313903M,WEGMANS MARKET STREET CAFE,01628346,100 WEGMANS MARKET ST,ROCHESTER,NY,US,71
ZPL313904H,FIVE GUYS BURGERS AND FRIES,01439899,1539 HILLIARD ROME RD,COLUMBUS,OH,US,71
ZPL313905C,POPEYES LOUISIANA KITCHEN,01631058,173 WASHINGTON AVE,NORTH HAVEN,CT,US,71
ZPL3139067,FIVE GUYS BURGERS AND FRIES,00667604,1790 STRINGTOWN RD,GROVE CITY,OH,US,71
ZPL3139072,WENDY'S,01606462,4235 N VINE ST,HAYS,KS,US,71
ZPL313908X,MAJESTIC STAR BACCARAT,01628359,1 BUFFINGTON HARBOR DR,GARY,IN,US,71
ZPL313909S,PITA PIT,01613156,6120 DELMAR BLVD,SAINT LOUIS,MO,US,71
ZPL313910U,WAWA FOOD MARKET 938,04474843,4690 US HIGHWAY 9,HOWELL,NJ,US,71
ZPL313911P,GREAT AMERICAN BALL PARK,00147316,100 JOE NUXHALL WAY,CINCINNATI,OH,US,71
ZPL313912K,STEAK N SHAKE INC,01581957,700 PARAMUS PARK SPC 1115,PARAMUS,NJ,US,71
ZPL313913F,FIREHOUSE SUBS,01639469,5314 PRILL RD,EAU CLAIRE,WI,US,71
ZPL313914A,FIVE GUYS BURGERS AND FRIES,00667604,1790 STRINGTOWN RD,GROVE CITY,OH,US,71
ZPL3139155,WAWA FOOD MARKET 951,05039482,856 MANTUA PIKE,WOODBURY HEIGHTS,NJ,US,71
ZPL3139160,SUNY CORTLAND NEUBIG HALL,05889324,15 NEUBIG RD,CORTLAND,NY,US,71
ZPL313917V,JOE'S MARKET,01628352,338 SQUIRE RD,REVERE,MA,US,71
ZPL313918Q,BURGER KING,02701359,3701 DIANN MARIE RD,LOUISVILLE,KY,US,71
ZPL313919L,FIVE GUYS BURGERS AND FRIES,01438610,42489 FORD RD,CANTON,MI,US,71
ZPL313920N,WEGMANS FOOD N DRUG STORE,08290326,2301 LYELL AVE,ROCHESTER,NY,US,71
ZPL313921I,BURGER KING,00866474,555 MORTHLAND DR,VALPARAISO,IN,US,71
ZPL313922D,WINGSTOP,01624481,128 1ST ST W,HUMBLE,TX,US,71
ZPL3139238,WENDYS,01855098,1511 LAFAYETTE PKWY,LAGRANGE,GA,US,71
ZPL3139243,BURGER KING,08930996,34355 HIGHWAY 43,THOMASVILLE,AL,US,71
ZPL313925Y,WINGSTOP,01604772,3965 S CARSON ST,CARSON CITY,NV,US,71
ZPL313926T,SAFEWAY,00679849,403 REDLAND BLVD,ROCKVILLE,MD,US,71
ZPL313927O,PALLADIUM 22,01613151,7301 GRAND PKWY,RICHMOND,TX,US,71
ZPL313928J,ESPN WIDEWORLD OF SPORTS GRILL,09839653,700 VICTORY WAY,KISSIMMEE,FL,US,71
ZPL313929E,MR GATTIS,08820830,1616 W BROADWAY AVE,MARYVILLE,TN,US,71
ZPL313930G,BURGER KING,06252664,909 E STATE ROAD 54,BLACK RIVER FALLS,WI,US,71
ZPL313931B,WEGMANS,05061941,1056 E LANCASTER AVE,DOWNINGTOWN,PA,US,71
ZPL3139326,CORNER STORE,02453452,9685 MARBACH RD,SAN ANTONIO,TX,US,71
ZPL3139331,DAIRY QUEEN,01628622,700 N INDUSTRIAL BLVD,EULESS,TX,US,71
ZPL313934W,BURGER KING,01810812,6450 OUTER LOOP,LOUISVILLE,KY,US,71
ZPL313935R,COUNTRY BUFFET 122,04744527,8685 SHERIDAN BLVD,WESTMINSTER,CO,US,71
ZPL313936M,FIVE GUYS BURGERS AND FRIES,05473726,1715 POST OAK BLVD STE C,HOUSTON,TX,US,71
ZPL313937H,AMC 84TH STREET THEATRE,03850650,2310 BROADWAY,NEW YORK,NY,US,71
ZPL313938C,MOE'S SOUTHWEST GRILL,01633113,171 AUBURN AVE NE STE A,ATLANTA,GA,US,71
ZPL3139397,BURGER KING,02135612,3390 TERRY RD,JACKSON,MS,US,71
ZPL3139409,WENDY'S,03629249,8440 ASTRONAUT BLVD,CAPE CANAVERAL,FL,US,71
ZPL3139414,FIVE GUYS BURGERS AND FRIES,01461150,1150-A FRY RD,HOUSTON,TX,US,71
ZPL313942Z,PALLADIUM 22,01613151,7301 GRAND PKWY,RICHMOND,TX,US,71
ZPL313943U,BURGER KING,05303907,375 S ACADEMY BLVD,COLORADO SPRINGS,CO,US,71
ZPL313945K,BURGER KING,01541752,937 HIGHWAY 90 E,MORGAN CITY,LA,US,71
ZPL313946F,FIVE GUYS BURGERS AND FRIES,00174942,9762 KATY FWY STE 100,HOUSTON,TX,US,71
ZPL313947A,FIVE GUYS BURGERS AND FRIES,05248846,1650 NIXON DR,MOORESTOWN,NJ,US,71
ZPL3139485,WENDYS   CUMBERLAND   2,07504543,325 S CENTRE ST,CUMBERLAND,MD,US,71
ZPL3139490,FIVE GUYS BURGERS AND FRIES,01647737,90 DRUM HILL RD,CHELMSFORD,MA,US,71
ZPL3139502,BURGER KING,05303907,375 S ACADEMY BLVD,COLORADO SPRINGS,CO,US,71
ZPL313951X,GIANT EAGLE,07280322,6700 PERIMETER LOOP RD,DUBLIN,OH,US,71
ZPL313952S,WENDYS,08456755,1940 S OHIO ST,SALINA,KS,US,71
ZPL313953N,SPUDZ N STUFF,01646383,3500 VILLA PT STE 102,OWENSBORO,KY,US,71
ZPL313954I,FIVE GUYS BURGERS AND FRIES,08865162,3497 HEMPSTEAD TPKE,LEVITTOWN,NY,US,71
ZPL313955D,BURGER KING,05285950,2880 SW PORT ST LUCIE BLVD,PORT SAINT LUCIE,FL,US,71
ZPL3139568,HALO BURGER,01643753,300 N CLIPPERT ST STE 1,LANSING,MI,US,71
ZPL3139573,FIVE GUYS BURGERS AND FRIES,00702379,910 N 10TH PL,RENTON,WA,US,71
ZPL313958Y,JUICY PLATTERS,01638590,23-16 BROADWAY,FAIR LAWN,NJ,US,71
ZPL313959T,FIREHOUSE SUBS,01616667,19851 CENTURY BLVD,GERMANTOWN,MD,US,71
ZPL313960V,SURF TACO,08497716,1003 MAIN ST,BELMAR,NJ,US,71
ZPL313961Q,FIVE GUYS BURGERS AND FRIES,01461150,1150-A FRY RD,HOUSTON,TX,US,71
ZPL313962L,BURGER KING,08881265,2555 NE 238TH DR,WOOD VILLAGE,OR,US,71
ZPL313964B,BURGER KING,08376654,2434 11TH ST,ROCKFORD,IL,US,71
ZPL3139656,FIVE GUYS BURGERS AND FRIES,01927251,6927 FM 1960 RD W STE B,HOUSTON,TX,US,71
ZPL3139661,FIVE GUYS BURGERS AND FRIES,01516449,350 GRASMERE AVE,FAIRFIELD,CT,US,71
ZPL313967W,KINGS ISLAND JUKE BOX DINER,02154132,6300 KINGS ISLAND DR,KINGS MILLS,OH,US,71
ZPL313968R,"SCHLOTZSKYS STORES, LLC",01014557,204 SE GEORGIA AVE,SWEETWATER,TX,US,71
ZPL313969M,KINGS ISLAND JUKE BOX DINER,02154132,6300 KINGS ISLAND DR,KINGS MILLS,OH,US,71
ZPL313970O,MOE'S SOUTHWEST GRILL,07955477,7225 BELL CREEK RD STE 272,MECHANICSVILLE,VA,US,71
ZPL313971J,PALLADIUM 22,01613151,7301 GRAND PKWY,RICHMOND,TX,US,71
ZPL313972E,BURGER KING,01539855,1430 JERRY CLOWER BLVD,YAZOO CITY,MS,US,71
ZPL3139739,BURGER KING,02140365,3301 MONROE HWY,PINEVILLE,LA,US,71
ZPL3139744,FIREHOUSE SUBS,01633927,5590 CAMDEN RD,FAYETTEVILLE,NC,US,71
ZPL313975Z,FIVE GUYS BURGERS AND FRIES,01460820,25845 HIGHWAY 290 STE C,CYPRESS,TX,US,71
ZPL313976U,WENDYS,01884930,978 BRECKENRIDGE LN,LOUISVILLE,KY,US,71
ZPL313978K,FIREHOUSE SUBS,01633645,900 RANCH RD STE 620,LAKEWAY,TX,US,71
ZPL313979F,BURGER KING,06926592,1480 OLNEY ST SE,PORT ORCHARD,WA,US,71
ZPL313980H,FIREHOUSE SUBS,01584780,2100 S GILBERT RD STE 11,CHANDLER,AZ,US,71
ZPL313981C,INTERMARK AT FOOT LOCKER,01613173,3810 S US HIGHWAY 77,JUNCTION CITY,KS,US,71
ZPL3139827,BURGER KING,02140535,1501 GULF SHORES PKWY,GULF SHORES,AL,US,71
ZPL3139832,MOE'S SOUTHWEST GRILL,01603330,4601 DEVINE ST STE B,COLUMBIA,SC,US,71
ZPL313984X,BURGER KING,06927530,2500 N WICKHAM RD,MELBOURNE,FL,US,71
ZPL313985S,BURGER KING,06918794,19655 7TH AVE NE,POULSBO,WA,US,71
ZPL313986N,BURGER KING,02126961,4801 MCMASTERS AVE,HANNIBAL,MO,US,71
ZPL313987I,BURGER KING,02940744,855 LAWSON AVE,WOODBURN,OR,US,71
ZPL313988D,BURGER KING,06490018,4805 E WARNER RD,PHOENIX,AZ,US,71
ZPL3139898,BURGER KING,02133717,1445 N PACIFIC HWY,WOODBURN,OR,US,71
ZPL313990A,FIREHOUSE SUBS,01635523,1820 EVELYN BYRD AVE,HARRISONBURG,VA,US,71
ZPL3139915,SEAWORLD ORL KEY WEST FRSTYL,01601700,6295 SEA HARBOR DR,ORLANDO,FL,US,71
ZPL3139920,BURGER KING,07990979,1648 HIGHWAY 1 S,GREENVILLE,MS,US,71
ZPL313993V,STATER BROS MARKET,01536735,25904 NEWPORT RD,SUN CITY,CA,US,71
ZPL313994Q,WEGMANS FOOD N FUEL,08290202,2833 W RIDGE RD,ROCHESTER,NY,US,71
ZPL313995L,FIVE GUYS BURGERS AND FRIES,01464255,763 BETHEL RD,COLUMBUS,OH,US,71
ZPL313996G,COCA COLA FREESTYLE CAFE,01633702,1 CEDAR POINT DR,SANDUSKY,OH,US,71
ZPL313997B,BURGER KING,02140535,1501 GULF SHORES PKWY,GULF SHORES,AL,US,71
ZPL3139986,GRAND TRUNK THE RESTAURANT,01626100,641 INDIANA AVE NW,WASHINGTON,DC,US,71
ZPL3139991,BURGER KING,06415598,2100 N FRONTAGE RD,MERIDIAN,MS,US,71
ZPL314000T,MR HANTONS HANDWICHES,01638575,249 CALHOUN ST STE A,CINCINNATI,OH,US,71
ZPL314001O,WEGMANS FOOD MARKET,04993764,525 TITUS AVE,ROCHESTER,NY,US,71
ZPL314002J,FIVE GUYS BURGERS AND FRIES,01635787,2500 CENTRAL PARK AVE,YONKERS,NY,US,71
ZPL314003E,WEGMANS,04005703,55 US HIGHWAY 9,MANALAPAN,NJ,US,71
ZPL3140049,FIVE GUYS BURGERS AND FRIES,08865146,4810 CARLISLE PIKE,MECHANICSBURG,PA,US,71
ZPL3140054,FIVE GUYS BURGERS AND FRIES,01589405,1000 N EISENHOWER DR,BECKLEY,WV,US,71
ZPL314006Z,GIANT EAGLE,02439128,9805 MCKNIGHT RD,PITTSBURGH,PA,US,71
ZPL314007U,BURGER KING,05185777,12921 S US HIGHWAY 71,GRANDVIEW,MO,US,71
ZPL314008P,AMERICAN MULTI-CINEMA  INC,02447835,6700 VILLAGE PKWY,DUBLIN,OH,US,71
ZPL314009K,BURGER KING,09487298,3116 BOULEVARD,COLONIAL HEIGHTS,VA,US,71
ZPL314010M,FIVE GUYS BURGERS AND FRIES,08865146,4810 CARLISLE PIKE,MECHANICSBURG,PA,US,71
ZPL314011H,LOEWS FRESH MEADOWS CINEMA,00621471,19002 HORACE HARDING EXPY,FRESH MEADOWS,NY,US,71
ZPL314012C,FIVE GUYS BURGERS AND FRIES,08085786,1125 HAINES RD,YORK,PA,US,71
ZPL3140137,U-PAK-IT,02927441,1234 HIGHWAY 165,GEORGETOWN,LA,US,71
ZPL3140142,LOWER LEVEL (LL) CANTEEN,04297941,8 N STOLP AVE,AURORA,IL,US,71
ZPL314015X,WEGMANS,01595155,201 WILLIAM ST,WILLIAMSPORT,PA,US,71
ZPL314016S,MCALISTERS DELI,01509595,13007 WORLDGATE DR,HERNDON,VA,US,71
ZPL314017N,BURGER KING,01095086,1774 MAIN ST,MADISON,MS,US,71
ZPL314018I,FIVE GUYS BURGERS AND FRIES,05801244,58 KEY RD,KEENE,NH,US,71
ZPL314019D,FIRST COAST,07439657,120 CENTER PLACE WAY,SAINT AUGUSTINE,FL,US,71
ZPL314020F,CORNER STORE,03908534,3603 SE MILITARY DR,SAN ANTONIO,TX,US,71
ZPL314021A,BURGER KING,08515077,1509 S BROADWAY,MINOT,ND,US,71
ZPL3140225,ABBY'S DELI-FAA BUILDING,01589685,16600 JOHN F KENNEDY BLVD,HOUSTON,TX,US,71
ZPL3140230,FIVE GUYS BURGERS AND FRIES,01508392,584 CENTERVILLE RD STE A,LANCASTER,PA,US,71
ZPL314025Q,WENDYS,07772683,1401 18TH AVE NW,AUSTIN,MN,US,71
