machine,ZPL300128D,FUDDRUCKERS,00113420,50 WALKERS BROOK DR,READING,MA,US,42.520654,-71.096086
machine,ZPL3001298,THE BURGER JOINT,01379852,1514 CONNECTICUT AVE NW,WASHINGTON,DC,US,38.910301,-77.043902
machine,ZPL300130A,FUDDRUCKERS,03978061,4360 KINGWOOD DR,KINGWOOD,TX,US,30.050101,-95.183834
machine,ZPL3001315,BURGER KING,01465129,4125 BALL RD NE,CIRCLE PINES,MN,US,45.156645,-93.163445
machine,ZPL3001320,FUDDRUCKERS,01457509,1100 LOUISIANA ST STE A80,HOUSTON,TX,US,29.757771,-95.368113
machine,ZPL300133V,U OF A CELLAR BISTRO,05303244,1303 E UNIVERSITY BLVD,TUCSON,AZ,US,32.23179,-110.950988
machine,ZPL300134Q,OUTBACK STEAKHOUSE,01550360,16510 SOUTHCENTER PKWY,SEATTLE,WA,US,47.455211,-122.262418
machine,ZPL300135L,FUDDRUCKER,05813374,2947 PRESTON RD,FRISCO,TX,US,33.103106,-96.805411
machine,ZPL300136G,FUDDRUCKERS,05770726,7250 HIGHWAY 6 N,HOUSTON,TX,US,29.712767,-95.644069
machine,ZPL300137B,FUDDRUCKERS,01019074,17815 65TH AVE,LAKE OSWEGO,OR,US,45.396543,-122.743848
machine,ZPL3001386,FAZOLI'S,03924046,2512 S SONCY RD,AMARILLO,TX,US,35.184516,-101.937695
machine,ZPL3001391,FUDDRUCKERS,03978061,4360 KINGWOOD DR,KINGWOOD,TX,US,30.050101,-95.183834
machine,ZPL3001403,PEI WEI ASIAN DINER,03889624,1085 W QUEEN CREEK RD,CHANDLER,AZ,US,33.261716,-111.86064
machine,ZPL300141Y,FUDDRUCKERS,03585196,5601 SW LOOP 820,FORT WORTH,TX,US,32.685029,-97.401289
machine,ZPL300142T,FUDDRUCKERS,01509670,5500 GREENVILLE AVE,DALLAS,TX,US,32.853098,-96.769521
machine,ZPL300144J,PEI WEI ASIAN DINER,04359645,1560 LEUCADIA BLVD STE A,ENCINITAS,CA,US,33.065689,-117.277183
machine,ZPL300145E,FUDDRUCKER,05813349,1732 S LOOP 288,DENTON,TX,US,33.191929,-97.097931
machine,ZPL3001469,PEI WEI ASIAN DINER,03889624,1085 W QUEEN CREEK RD,CHANDLER,AZ,US,33.261716,-111.86064
machine,ZPL3001474,THE BURGER JOINT,01522563,3960 W POINT LOMA BLVD STE J,SAN DIEGO,CA,US,32.750281,-117.184671
machine,ZPL300148Z,FUDDRUCKERS,03928913,4910 DUBLIN BLVD,DUBLIN,CA,US,37.706039,-121.884014
machine,ZPL300149U,MR GOODCENTS SUBS & PASTAS,05564560,5633 S 16TH ST STE 300,LINCOLN,NE,US,40.760715,-96.699182
machine,ZPL300150W,FUDDRUCKERS,03904070,7511 FM 1960 RD W,HOUSTON,TX,US,29.964796,-95.541327
machine,ZPL300151R,FUDDRUCKERS,01255792,1940 N MAIN ST,WALNUT CREEK,CA,US,37.905578,-122.063944
machine,ZPL300152M,PEI WEI ASIAN DINER,04359645,1560 LEUCADIA BLVD STE A,ENCINITAS,CA,US,33.065689,-117.277183
machine,ZPL300154C,FUDDRUCKERS,02194406,3929 SOUTHWEST FWY,HOUSTON,TX,US,30.013086,-95.427543
machine,ZPL3001557,FUDDRUCKERS,04516885,1975 DIAMOND BLVD STE E260,CONCORD,CA,US,37.970078,-122.054635
machine,ZPL3001562,PALIOS PIZZA,00072996,120 N PRESTON RD STE 10,PROSPER,TX,US,33.236101,-96.789713
machine,ZPL300157X,FUDDRUCKER,05813357,2045 N CENTRAL EXPY,MCKINNEY,TX,US,29.985958,-94.010953
machine,ZPL300159N,PEI WEI ASIAN DINER,03889616,8787 N SCOTTSDALE RD,SCOTTSDALE,AZ,US,33.576741,-111.926031
machine,ZPL300160P,NANDO'S,01456759,224 BOARDWALK PL,GAITHERSBURG,MD,US,39.117094,-77.198634
machine,ZPL300161K,BURGER KING,06918905,350 MARINE DR,ASTORIA,OR,US,46.190626,-123.839974
machine,ZPL300162F,MR GOODCENTS SUBS & PASTAS,03113744,2712 CORNHUSKER HWY STE 4,LINCOLN,NE,US,40.84241,-96.681938
machine,ZPL300163A,GODFATHERS PIZZA,09584773,905 MAIN ST,BILLINGS,MT,US,45.815313,-108.470627
machine,ZPL3001645,Training Dispenser,10101010,1150 Sanctuary Parkway,Alpharetta,GA,,34.049493,-84.315773
machine,ZPL3001650,PEI WEI ASIAN DINER,01442918,6159 N KEYSTONE AVE STE 100,INDIANAPOLIS,IN,US,39.867848,-86.122155
machine,ZPL300166V,7 ELEVEN,02022028,3200 E 45TH AVE,DENVER,CO,US,39.778925,-104.949795
machine,ZPL300167Q,WINGSTOP,01010664,3114 STEINWAY ST,ASTORIA,NY,US,40.762574,-73.913447
machine,ZPL300168L,THE BURGER JOINT,01407446,8420 OLD KEENE MILL RD,SPRINGFIELD,VA,US,38.778931,-77.234922
machine,ZPL300169G,DAVANNI'S,01196788,6345 PENN AVE S,RICHFIELD,MN,US,44.886909,-93.308571
machine,ZPL300171D,THE BURGER JOINT,06241692,3024 WILSON BLVD,ARLINGTON,VA,US,38.887584,-77.094694
machine,ZPL3001733,GO ROMA,08489691,900 MILWAUKEE AVE STE E,LINCOLNSHIRE,IL,US,42.156814,-87.916869
machine,ZPL300174Y,7 ELEVEN,02021986,580 JOSEPHINE ST,DENVER,CO,US,39.725449,-104.958519
machine,ZPL300175T,PEI WEI ASIAN DINER,01404025,1021 N ELMHURST RD,MOUNT PROSPECT,IL,US,42.08388,-87.936883
machine,ZPL300177J,THE BURGER JOINT,01454286,7949 TUCKERMAN LN,POTOMAC,MD,US,39.03989,-77.156937
machine,ZPL300178E,7 ELEVEN,02021803,105 KNOX CT,DENVER,CO,US,39.718218,-105.032546
machine,ZPL3001799,THE BURGER JOINT,00886496,106 N WASHINGTON ST,ALEXANDRIA,VA,US,36.697894,-77.545575
machine,ZPL300180B,MOE'S SOUTHWEST GRILL,07650200,110 SHORTER AVE NW,ROME,GA,US,34.262345,-85.185881
machine,ZPL3001816,FUDDRUCKERS,01574141,550 TURNPIKE ST,NORTH ANDOVER,MA,US,42.666396,-71.116513
machine,ZPL3001821,FUDDRUCKERS,00113420,50 WALKERS BROOK DR,READING,MA,US,42.520654,-71.096086
machine,ZPL300184R,FUDDRUCKERS,09380795,2040 NASA RD 1,HOUSTON,TX,US,29.560437,-95.033808
machine,ZPL300186H,BELLACINOS PIZZA AND GRINDERS,03591196,4662 LEBANON PIKE,HERMITAGE,TN,US,36.215211,-86.600551
machine,ZPL3001887,FUDDRUCKERS,03854361,2290 BUCKTHORNE PL,THE WOODLANDS,TX,US,30.14043,-95.471171
machine,ZPL3001892,FUDDRUCKERS,01457509,1100 LOUISIANA ST STE A80,HOUSTON,TX,US,29.757771,-95.368113
machine,ZPL300191Z,FUDDRUCKERS,03585196,5601 SW LOOP 820,FORT WORTH,TX,US,32.685029,-97.401289
machine,ZPL300192U,GO ROMA,08185412,848 N STATE ST,CHICAGO,IL,US,41.898052,-87.628311
machine,ZPL300193P,FUDDRUCKERS,09380817,855 NORMANDY ST,HOUSTON,TX,US,29.783333,-95.204682
machine,ZPL300194K,BURGER KING,06929982,1901 S MILITARY HWY,CHESAPEAKE,VA,US,36.787174,-76.251695
machine,ZPL3001975,FUDDRUCKERS,01457509,1100 LOUISIANA ST STE A80,HOUSTON,TX,US,29.757771,-95.368113
machine,ZPL3001980,FUDDRUCKERS,03952207,115 ALAMO PLAZA,SAN ANTONIO,TX,US,29.424673,-98.487149
machine,ZPL300199V,FUDDRUCKERS,09315373,9845 W INTERSTATE 10,SAN ANTONIO,TX,US,29.45608,-98.404566
machine,ZPL300200I,FUDDRUCKERS,04746176,2111 N INTERSTATE 35 STE 380,ROUND ROCK,TX,US,30.515984,-97.596992
machine,ZPL300201D,PEI WEI ASIAN DINER,08307836,23632 EL TORO RD,LAKE FOREST,CA,US,33.619445,-117.701663
machine,ZPL3002028,BEX GRILL,01437798,706 W LANCASTER BLVD,LANCASTER,CA,US,34.697732,-118.142168
machine,ZPL3002033,BURGER KING,05121043,1122 NORTHSIDE DR NW,ATLANTA,GA,US,33.799244,-84.407842
machine,ZPL300204Y,BURGER KING,05121043,1122 NORTHSIDE DR NW,ATLANTA,GA,US,33.799244,-84.407842
machine,ZPL300205T,SUBWAY,07106004,32545 GOLDEN LANTERN ST STE A,DANA POINT,CA,US,33.489146,-117.698206
machine,ZPL300207J,SUBWAY,08240838,2514 E CHAPMAN AVE,FULLERTON,CA,US,33.874165,-117.886742
machine,ZPL300208E,STERLING RESTAURANTS LLC,02918264,2915 PEACHTREE RD NE,ATLANTA,GA,US,33.857557,-84.348132
machine,ZPL3002099,BEX GRILL,01437798,706 W LANCASTER BLVD,LANCASTER,CA,US,34.697732,-118.142168
machine,ZPL300210B,WINGSTOP,06014636,1251 NORTHWEST HWY,GARLAND,TX,US,32.864112,-96.647115
machine,ZPL3002116,WINGSTOP,05190814,4351 DFW TPKE STE 110,DALLAS,TX,US,32.799442,-96.692712
machine,ZPL3002121,PEI WEI ASIAN DINER,05045317,1302 BISON AVE,NEWPORT BEACH,CA,US,33.637426,-117.861997
machine,ZPL300213W,WINGSTOP,06014636,1251 NORTHWEST HWY,GARLAND,TX,US,32.864112,-96.647115
machine,ZPL300214R,PEI WEI ASIAN DINER,08307836,23632 EL TORO RD,LAKE FOREST,CA,US,33.619445,-117.701663
machine,ZPL300215M,PEI WEI ASIAN DINER,05045317,1302 BISON AVE,NEWPORT BEACH,CA,US,33.637426,-117.861997
machine,ZPL300216H,PEI WEI ASIAN DINER,08158172,601 W 15TH ST STE 101,PLANO,TX,US,33.019452,-96.711787
machine,ZPL300217C,PEI WEI ASIAN DINER,09567194,4801 BELT LINE RD,DALLAS,TX,US,32.954014,-96.829906
machine,ZPL3002192,PEI WEI ASIAN DINER,07358886,12901 N I 35 SVC RD NB 1540,AUSTIN,TX,US,30.418036,-97.672322
machine,ZPL3002204,PEI WEI ASIAN DINER,09567194,4801 BELT LINE RD,DALLAS,TX,US,32.954014,-96.829906
machine,ZPL300221Z,PEI WEI ASIAN DINER,08158172,601 W 15TH ST STE 101,PLANO,TX,US,33.019452,-96.711787
machine,ZPL300223P,PEI WEI ASIAN DINER,08602552,8412 PRESTON RD STE 400,PLANO,TX,US,33.092176,-96.805732
machine,ZPL300225F,PEI WEI ASIAN DINER,08093275,2222 MCKINNEY AVE STE 100,DALLAS,TX,US,32.792854,-96.802795
machine,ZPL3002275,PEI WEI ASIAN DINER,04811882,3001 KNOX ST STE 100,DALLAS,TX,US,32.822488,-96.787083
machine,ZPL3002280,MOE'S SOUTHWEST GRILL,04363650,688 JOHNSON FERRY RD,MARIETTA,GA,US,33.966278,-84.411726
machine,ZPL300232N,PEI WEI ASIAN DINER,08602552,8412 PRESTON RD STE 400,PLANO,TX,US,33.092176,-96.805732
machine,ZPL300234D,COCA-COLA REFRESHMENTS,01406830,1150 SANCTUARY PKWY,ALPHARETTA,GA,US,34.049493,-84.315773
machine,ZPL3002358,PEI WEI ASIAN DINER,04811882,3001 KNOX ST STE 100,DALLAS,TX,US,32.822488,-96.787083
machine,ZPL300238T,PEI WEI ASIAN DINER,08093275,2222 MCKINNEY AVE STE 100,DALLAS,TX,US,32.792854,-96.802795
machine,ZPL300241L,BENTO CAFE,01479105,4860 BIG ISLAND DR,JACKSONVILLE,FL,US,29.277554,-82.111616
machine,ZPL300242G,TrainingÊDispenser,10101010,1150 Sanctuary Parkway,Alpharetta,GA,,34.049493,-84.315773
machine,ZPL300243B,PEI WEI ASIAN DINER,08923146,2695 PARK AVE,TUSTIN,CA,US,33.552147,-117.758562
